cirDate,cirDisplayDate,circCategory,circCompany,circDepartment,circDisplayNo,circFileSize,circFilelink,circFilename,circNumber,fileDept,fileExt,sub
20191231,"December 31, 2019",Listing,NSE,Listing,NSE/CML/43073,-,https://nsearchives.nseindia.com/content/circulars/CML43073.pdf,CML43073.pdf,43073,CML,pdf,Listing of privately placed securities on the debt market segment of the Exchange
20191231,"December 31, 2019",Trading,NSE,Debt Segment,NSE/CML/43073,-,https://nsearchives.nseindia.com/content/circulars/CML43073.pdf,CML43073.pdf,43073,CML,pdf,Listing of privately placed securities on the debt market segment of the Exchange
20191231,"December 31, 2019",Clearing,NCL,NSE Clearing - Capital Market,NCL/CMPT/43072,-,https://nsearchives.nseindia.com/content/circulars/CMPT43072.zip,CMPT43072.zip,43072,CMPT,zip,N-MASS Functionality for Client margin reporting in Capital market
20191231,"December 31, 2019",Clearing,NCL,NSE Clearing - Capital Market,NCL/CMPT/43071,-,https://nsearchives.nseindia.com/content/circulars/CMPT43071.zip,CMPT43071.zip,43071,CMPT,zip,Clarification on Client margin Reporting in Capital market
20191231,"December 31, 2019",Clearing,NCL,Securities Lending & Borrowing Scheme,NCL/CMPT/43070,-,https://nsearchives.nseindia.com/content/circulars/CMPT43070.zip,CMPT43070.zip,43070,CMPT,zip,"Applicable MWPL, Participant, Institutional Client & Non-Institutional Client Limits for Securities and ETFs - SLBS"
20191231,"December 31, 2019",Compliance,NSE,Inspection & Compliance,NSE/INSP/43069,-,https://nsearchives.nseindia.com/content/circulars/INSP43069.zip,INSP43069.zip,43069,INSP,zip,Guidelines/clarifications on Margin collection & reporting
20191231,"December 31, 2019",Listing,NSE,Listing,NSE/CML/43068,-,https://nsearchives.nseindia.com/content/circulars/CML43068.pdf,CML43068.pdf,43068,CML,pdf,Listing of further issues of Avenue Supermarts Limited and The Phoenix Mills Limited
20191231,"December 31, 2019",Compliance,NSE,Surveillance & Investigation,NSE/INVG/43067,-,https://nsearchives.nseindia.com/content/circulars/INVG43067.zip,INVG43067.zip,43067,INVG,zip,SEBI Order in the matter of Deccan Chronicle Holdings Limited
20191231,"December 31, 2019",Compliance,NSE,Surveillance & Investigation,NSE/INVG/43066,-,https://nsearchives.nseindia.com/content/circulars/INVG43066.zip,INVG43066.zip,43066,INVG,zip,SEBI Order in the matter of Ripples Advisory P. Ltd.
20191231,"December 31, 2019",Trading,NCL,Futures & Options,NCL/CMPT/43065,-,https://nsearchives.nseindia.com/content/circulars/CMPT43065.pdf,CMPT43065.pdf,43065,CMPT,pdf,"Applicable MWPL, TM, FII/FPI & MF Limits"
20191231,"December 31, 2019",Compliance,NSE,Surveillance & Investigation,NSE/SURV/43064,-,https://nsearchives.nseindia.com/content/circulars/SURV43064.zip,SURV43064.zip,43064,SURV,zip,Applicability of Short Term Additional Surveillance Measure (ST-ASM)
20191231,"December 31, 2019",Compliance,NSE,Surveillance & Investigation,NSE/SURV/43063,-,https://nsearchives.nseindia.com/content/circulars/SURV43063.zip,SURV43063.zip,43063,SURV,zip,Applicability of Additional Surveillance Measure (ASM)
20191231,"December 31, 2019",Listing,NSE,Listing,NSE/CML/43062,-,https://nsearchives.nseindia.com/content/circulars/CML43062.pdf,CML43062.pdf,43062,CML,pdf,Listing of further issue of Innovana Thinklabs Limited
20191231,"December 31, 2019",Others,NSE,Emerge,NSE/CML/43062,-,https://nsearchives.nseindia.com/content/circulars/CML43062.pdf,CML43062.pdf,43062,CML,pdf,Listing of further issue of Innovana Thinklabs Limited
20191231,"December 31, 2019",Trading,NSE,Futures & Options,NSE/FAOP/43061,-,https://nsearchives.nseindia.com/content/circulars/FAOP43061.pdf,FAOP43061.pdf,43061,FAOP,pdf,Quantity Freeze Limits for Indices
20191231,"December 31, 2019",Listing,NSE,Listing,NSE/CML/43060,-,https://nsearchives.nseindia.com/content/circulars/CML43060.pdf,CML43060.pdf,43060,CML,pdf,Cancellation of proposed suspension of trading in securities
20191231,"December 31, 2019",Listing,NSE,Listing,NSE/CML/43059,-,https://nsearchives.nseindia.com/content/circulars/CML43059.pdf,CML43059.pdf,43059,CML,pdf,Trade for Trade ��� Jindal Poly Films Limited (JINDALPOLY)
20191231,"December 31, 2019",Trading,NSE,Commodity Derivatives,NSE/COM/43058,-,https://nsearchives.nseindia.com/content/circulars/COM43058.pdf,COM43058.pdf,43058,COM,pdf,"Mock trading (contingency) on Saturday, January 04, 2020 - No New version release"
20191230,"December 30, 2019",Trading,NSE,Debt Segment,NSE/CML/43057,-,https://nsearchives.nseindia.com/content/circulars/CML43057.pdf,CML43057.pdf,43057,CML,pdf,Listing of privately placed securities on the debt market segment of the Exchange
20191230,"December 30, 2019",Listing,NSE,Listing,NSE/CML/43057,-,https://nsearchives.nseindia.com/content/circulars/CML43057.pdf,CML43057.pdf,43057,CML,pdf,Listing of privately placed securities on the debt market segment of the Exchange
20191230,"December 30, 2019",Trading,NCL,Futures & Options,NCL/CMPT/43056,-,https://nsearchives.nseindia.com/content/circulars/CMPT43056.pdf,CMPT43056.pdf,43056,CMPT,pdf,Applicable Exposure Margin
20191230,"December 30, 2019",Listing,NSE,Listing,NSE/CML/43055,-,https://nsearchives.nseindia.com/content/circulars/CML43055.pdf,CML43055.pdf,43055,CML,pdf,"Listing of further issues of Axis Bank Limited, Bandhan Bank Limited, Cipla Limited, Equitas Holdings Limited, Manappuram Finance Limited, NACL Industries Limited, Pidilite Industries Limited, Redington (India) Limited and Ujaas Energy Limited"
20191230,"December 30, 2019",Compliance,NSE,Surveillance & Investigation,NSE/SURV/43054,-,https://nsearchives.nseindia.com/content/circulars/SURV43054.zip,SURV43054.zip,43054,SURV,zip,Trade for Trade
20191230,"December 30, 2019",Trading,NSE,Currency Derivatives,NSE/MSD/43053,-,https://nsearchives.nseindia.com/content/circulars/MSD43053.pdf,MSD43053.pdf,43053,MSD,pdf,Market Data - Introduction of Trade Execution Range (TER) Source 2 broadcast
20191230,"December 30, 2019",Trading,NSE,Commodity Derivatives,NSE/MSD/43053,-,https://nsearchives.nseindia.com/content/circulars/MSD43053.pdf,MSD43053.pdf,43053,MSD,pdf,Market Data - Introduction of Trade Execution Range (TER) Source 2 broadcast
20191230,"December 30, 2019",Trading,NSE,Member Service Department,NSE/MSD/43053,-,https://nsearchives.nseindia.com/content/circulars/MSD43053.pdf,MSD43053.pdf,43053,MSD,pdf,Market Data - Introduction of Trade Execution Range (TER) Source 2 broadcast
20191230,"December 30, 2019",Trading,NSE,Futures & Options,NSE/MSD/43053,-,https://nsearchives.nseindia.com/content/circulars/MSD43053.pdf,MSD43053.pdf,43053,MSD,pdf,Market Data - Introduction of Trade Execution Range (TER) Source 2 broadcast
20191230,"December 30, 2019",Compliance,NSE,Surveillance & Investigation,NSE/SURV/43052,-,https://nsearchives.nseindia.com/content/circulars/SURV43052.zip,SURV43052.zip,43052,SURV,zip,Applicability of Short Term Additional Surveillance Measure (ST-ASM)
20191230,"December 30, 2019",Compliance,NSE,Surveillance & Investigation,NSE/SURV/43051,-,https://nsearchives.nseindia.com/content/circulars/SURV43051.zip,SURV43051.zip,43051,SURV,zip,Applicability of Additional Surveillance Measure (ASM)
20191230,"December 30, 2019",Compliance,NSE,Surveillance & Investigation,NSE/SURV/43050,-,https://nsearchives.nseindia.com/content/circulars/SURV43050.pdf,SURV43050.pdf,43050,SURV,pdf,List of Securities moving to Stage I of Graded Surveillance Measure (GSM)
20191230,"December 30, 2019",Listing,NSE,Listing,NSE/CML/43049,-,https://nsearchives.nseindia.com/content/circulars/CML43049.pdf,CML43049.pdf,43049,CML,pdf,Suspension of trading in Government Bonds
20191227,"December 27, 2019",Listing,NSE,Listing,NSE/CML/43048,-,https://nsearchives.nseindia.com/content/circulars/CML43048.pdf,CML43048.pdf,43048,CML,pdf,Listing of privately placed securities on the debt market segment of the Exchange
20191227,"December 27, 2019",Trading,NSE,Debt Segment,NSE/CML/43048,-,https://nsearchives.nseindia.com/content/circulars/CML43048.pdf,CML43048.pdf,43048,CML,pdf,Listing of privately placed securities on the debt market segment of the Exchange
20191227,"December 27, 2019",Compliance,NSE,Surveillance & Investigation,NSE/SURV/43047,-,https://nsearchives.nseindia.com/content/circulars/SURV43047.pdf,SURV43047.pdf,43047,SURV,pdf,Revised ratios for conversion of USDINR 1 million equivalent
20191227,"December 27, 2019",Trading,NCL,Futures & Options,NCL/CMPT/43046,-,https://nsearchives.nseindia.com/content/circulars/CMPT43046.pdf,CMPT43046.pdf,43046,CMPT,pdf,"Revised MWPL, TM, FII/FPI & MF limits for PEL"
20191227,"December 27, 2019",Listing,NSE,Listing,NSE/CML/43045,-,https://nsearchives.nseindia.com/content/circulars/CML43045.pdf,CML43045.pdf,43045,CML,pdf,Listing of further issue of Tirupati Forge Limited
20191227,"December 27, 2019",Others,NSE,Emerge,NSE/CML/43045,-,https://nsearchives.nseindia.com/content/circulars/CML43045.pdf,CML43045.pdf,43045,CML,pdf,Listing of further issue of Tirupati Forge Limited
20191227,"December 27, 2019",Listing,NSE,Listing,NSE/CML/43044,-,https://nsearchives.nseindia.com/content/circulars/CML43044.pdf,CML43044.pdf,43044,CML,pdf,"Listing of further issues of Aditya Birla Capital Limited, Essel Propack Limited, Hexaware Technologies Limited, IDFC First Bank Limited, Infibeam Avenues Limited, Max India Limited, Polycab India Limited and SBI Life Insurance Company Limited"
20191227,"December 27, 2019",Listing,NSE,Listing,NSE/CML/43043,-,https://nsearchives.nseindia.com/content/circulars/CML43043.zip,CML43043.zip,43043,CML,zip,Listing of Equity Shares of Prince Pipes And Fittings Limited (IPO)
20191227,"December 27, 2019",Trading,NSE,Currency Derivatives,NSE/CD/43042,-,https://nsearchives.nseindia.com/content/circulars/CD43042.pdf,CD43042.pdf,43042,CD,pdf,"Mock trading (Contingency) on Saturday, January 04, 2020 - No new version release"
20191227,"December 27, 2019",Trading,NSE,Futures & Options,NSE/FAOP/43041,-,https://nsearchives.nseindia.com/content/circulars/FAOP43041.pdf,FAOP43041.pdf,43041,FAOP,pdf,"Mock trading (Contingency) on Saturday, January 04, 2020 - No new version release"
20191227,"December 27, 2019",Compliance,NSE,Surveillance & Investigation,NSE/INVG/43040,-,https://nsearchives.nseindia.com/content/circulars/INVG43040.zip,INVG43040.zip,43040,INVG,zip,SEBI Order in the matter of Money Classic (Proprietor Mr. Deepak Mishra)
20191227,"December 27, 2019",Trading,NSE,Capital Market (Equities) Trade,NSE/CMTR/43039,-,https://nsearchives.nseindia.com/content/circulars/CMTR43039.pdf,CMTR43039.pdf,43039,CMTR,pdf,"Mock trading (Contingency) on Saturday, January 04, 2020 - No new version release"
