old,new,effective,circular,names
KPIT,BSOFT,2019-02-26,CML40271.pdf,KPIT Technologies Limited Birlasoft Limited
TIFIN,CHOLAHLDNG,2019-04-09,CML40641.pdf,TI Financial Holdings Cholamandalam Financial
SKML,BABAFOOD,2019-05-27,CML41073.pdf,Sri Krishna Metcom Baba Agro Food Limited
TATASPONGE,TATASTLLP,2019-09-03,CML41978.pdf,Tata Sponge Iron Tata Steel Long
MIL,GBGLOBAL,2019-09-09,CML42042.pdf,Mandhana GB Global Limited
HINDUJAVEN,NXTDIGITAL,2019-11-11,CML42610.pdf,Hinduja Ventures Limited NXTDIGITAL LIMITED
HOTELEELA,HLVLTD,2020-01-08,CML43100.pdf,Hotel Leela Venture Limited HLV LIMITED
IPAPPM,ANDPAPER,2020-01-22,CML43237.pdf,International Paper APPM ANDHRA PAPER LIMITED
RNAM,NAM-INDIA,2020-01-23,CML43292.pdf,Reliance Nippon Life Asset Nippon Life India Asset
BOROSIL,BORORENEW,2020-02-20,CML43547.pdf,Borosil Glass Works BOROSIL RENEWABLES LIMITED
TATAGLOBAL,TATACONSUM,2020-02-27,CML43619.pdf,Tata Global Beverages TATA CONSUMER
ANDHRA,PAPER,2020-03-05,CML43707.pdf,LIMITED ANDPAPER ANDHRAPAP
WEIZFOREX,EBIXFOREX,2020-03-20,CML43889.pdf,Weizmann Forex EBIXCASH WORLD MONEY
SAKETH,TEMBO,2020-04-13,CML44065.pdf,Saketh Exim Limited Tembo Global Industries Limited
ADLABS,IMAGICAA,2020-04-22,CML44140.pdf,Adlabs Entertainment Imagicaaworld
SUREVIN,WEWIN,2020-07-01,CML44786.pdf,Surevin BPO WE WIN LIMITED
ZENITHBIR,ZENITHSTL,2020-08-19,CML45329.pdf,Zenith Birla (India) Zenith Steel Pipes &
NIITTECH,COFORGE,2020-08-20,CML45340.pdf,Coforge Limited
ICFL,DHANILOANS,2020-09-17,CML45674.pdf,Finance Limited Limited
DEEPIND,DEEPENR,2020-09-30,CML45805.pdf,Limited LIMITED
AIONJSW,JSWISPL,2020-10-12,CML45957.pdf,Limited Limited
FAIRCHEM,PRIVISCL,2020-10-14,CML45983.pdf,Fairchem Speciality Privi Speciality Chemicals
ESSELPACK,EPL,2020-10-19,CML46024.pdf,Essel Propack Limited EPL Limited
IBVENTURES,DHANI,2020-10-28,CML46118.pdf,Indiabulls Ventures Limited Dhani Services Limited
IBVENTPP,DHANIPP,2020-10-28,CML46146.pdf,Indiabulls Ventures Limited Dhani Services Limited
PAPERPROD,HUHTAMAKI,2020-11-26,CML46402.pdf,Huhtamaki PPL Limited Huhtamaki India Limited
IBULISL,YAARII,2020-12-08,CML46532.pdf,Services Limited Services Limited
INFRATEL,INDUSTOWER,2020-12-18,CML46631.pdf,Bharti Infratel Limited Indus Towers Limited
ADANIGAS,ATGL,2021-01-13,CML46937.pdf,Adani Gas Limited Adani Total Gas Limited
8KMILES,SECURKLOUD,2021-01-20,CML47017.pdf,Services Limited LIMITED
CESCVENT,RPSGVENT,2021-02-01,CML47113.pdf,CESC Ventures Limited RPSG VENTURES LIMITED
OMMETALS,OMINFRAL,2021-02-10,CML47217.pdf,OM Metals OM INFRA LIMITED
RTNINFRA,RTNINDIA,2021-04-07,CML47847.pdf,RattanIndia RattanIndia Enterprises
VIKASMCORP,VIKASLIFE,2021-05-06,CML48152.pdf,Vikas Multicorp Vikas Lifecare Limited
ORIENTREF,RHIM,2021-07-22,CML48947.pdf,Orient Refractories RHI MAGNESITA INDIA
SGBJUN29IV,SGBJUL29IV,2021-07-28,CML49079.pdf,2.50%GOLDBONDS2029SR-IV
NANDANI,JAIPURKURT,2021-08-06,CML49146.pdf,Nandani Creation Limited
ANGELBRKG,ANGELONE,2021-11-11,CML50211.pdf,Angel Broking Limited Angel One Limited
PROINDIA,EQUIPPP,2021-11-30,CML50399.pdf,Proseed India Limited Equippp Social Impact Technologies
AGCNET,BBOX,2021-12-03,CML50436.pdf,AGC Networks Limited Black Box Limited
YAARII,YAARI,2021-12-15,CML50541.pdf,Yaarii Digital Integrated Yaari Digital Integrated
KARDA,KBCGLOBAL,2021-12-16,CML50569.pdf,Karda Constructions Limited KBC Global Limited
LINCPEN,LINC,2021-12-20,CML50595.pdf,Linc Pen & Plastics Limited Linc Limited
DOLAT,DOLATALGO,2021-12-20,CML50600.pdf,Dolat Investments Limited Dolat Algotech Limited
JUMPNET,WINPRO,2021-12-22,CML50640.pdf,Jump Networks Limited WinPro Industries Limited
DSML,DIL,2022-01-14,CML50948.pdf,Debock Sales And Marketing Limited Debock Industries Limited
PHILIPCARB,PCBL,2022-01-13,CML50952.pdf,Phillips Carbon Black PCBL LIMITED
PDSMFL,PDSL,2022-02-17,CML51294.pdf,PDS Multinational Fashions PDS Limited
BURGERKING,RBA,2022-02-17,CML51298.pdf,Burger King India Limited Restaurant Brands Asia Limited
INTEGRA,ESSENTIA,2022-03-02,CML51409.pdf,Integra Garments and Textiles Integra Essentia Limited
CADILAHC,ZYDUSLIFE,2022-03-07,CML51455.pdf,Cadila Healthcare Limited Zydus Lifesciences Limited
SHRIRAMEPC,SEPC,2022-03-09,CML51480.pdf,Shriram EPC Limited SEPC Limited
DUDIGITAL,DUGLOBAL,2022-03-17,CML51580.pdf,Du Digital Technologies DUDIGITAL GLOBAL LIMITED
WABCOINDIA,ZFCVINDIA,2022-04-01,CML51782.pdf,WABCO India Limited ZF Commercial Vehicle Control
DALALSTCOM,KEEPLEARN,2022-04-06,CML51842.pdf,DSJ Keep Learning Limited
KPIGLOBAL,KPIGREEN,2022-04-27,CML52068.pdf,K.P.I. Global Infrastructure KPI Green Energy Limited
HSIL,AGI,2022-05-11,CML52200.pdf,HSIL Limited AGI Greenpac Limited
MOTHERSUMI,MOTHERSON,2022-06-09,CML52507.pdf,Motherson Sumi Systems Samvardhana Motherson
CEBBCO,JWL,2022-06-20,CML52616.pdf,Commercial Engineers & Jupiter Wagons Limited
SHIL,HINDWAREAP,2022-06-21,CML52630.pdf,Somany Home Hindware Home Innovation
ZUARIGLOB,ZUARIIND,2022-07-04,CML52756.pdf,Zuari Global Limited Zuari Industries Limited
RUCHI,PATANJALI,2022-07-13,CML52890.pdf,Ruchi Soya Industries Limited Patanjali Foods Limited
TMRVL,HEADSUP,2022-07-18,CML52946.pdf,The Mandhana Retail Heads UP Ventures Limited
COSMOFILMS,COSMOFIRST,2022-07-25,CML53014.pdf,Cosmo Films Limited COSMO FIRST LIMITED
NBVENTURES,NAVA,2022-07-29,CML53058.pdf,Nava Bharat Ventures NAVA LIMITED
MINDAIND,UNOMINDA,2022-08-05,CML53163.pdf,Minda Industries Limited UNO Minda Limited
MODISNME,MODISN,2022-08-16,CML53242.pdf,Modison Metals Limited MODISON LIMITED
