bucket,path,size,mtime
A,config.py,7908,2026-08-13 23:32
A,config74.py,874,2026-08-13 11:31
A,config_mid.py,3460,2026-08-13 11:10
A,config_n100.py,4336,2026-08-20 14:42
A,nautilus/nt_export_scores.py,4369,2026-08-20 14:47
A,results/build_scores.py,1268,2026-08-13 21:13
A,results/build_scores74.py,1590,2026-08-13 21:13
A,results/build_scores_mid.py,2396,2026-08-13 21:13
A,results/build_scores_n100.py,2613,2026-08-20 14:43
A,results/diagnose_decay.py,10413,2026-08-07 17:40
A,results/engine_core.py,36595,2026-08-17 01:12
A,results/engine_v2_final.py,11758,2026-08-13 13:22
A,results/engine_v2_final74.py,11835,2026-08-13 13:22
A,results/engine_v2_final_mid.py,13589,2026-08-13 13:22
A,results/engine_v2_final_n100.py,10817,2026-08-20 14:44
A,results/export_feature_docs.py,3578,2026-08-07 17:40
A,results/features_v2.py,9544,2026-08-13 17:28
A,results/make_cash_series.py,4243,2026-08-07 17:40
A,results/make_charts.py,2210,2026-08-07 17:40
A,results/make_combined_all.py,3972,2026-08-07 17:40
A,results/make_combined_n100_mid.py,7702,2026-08-20 23:39
A,results/make_combined_portfolio.py,2230,2026-08-07 17:40
A,results/make_daily_audit.py,4513,2026-08-07 17:40
A,results/make_daily_log.py,22930,2026-08-20 14:45
A,results/make_final_chart_fair.py,19316,2026-08-17 01:12
A,results/make_final_summary.py,2523,2026-08-13 01:40
A,results/make_final_table.py,2209,2026-08-07 17:40
A,results/make_mid_audit.py,4749,2026-08-13 11:15
A,results/make_mid_chart.py,13620,2026-08-20 18:34
A,results/make_n100_audit.py,4757,2026-08-20 14:45
A,results/make_n100_chart.py,8691,2026-08-20 18:34
A,results/make_per_stock_charts.py,4964,2026-08-07 17:40
A,results/make_stats_both.py,5398,2026-08-07 17:40
A,results/make_stock_chart.py,3779,2026-08-07 17:40
A,results/make_trading_calendar.py,4987,2026-08-14 00:17
A,results/qbeast_in_charges.py,22463,2026-08-07 17:40
A,results/reality_check.py,11498,2026-08-07 17:40
A,results/test_exposure.py,18105,2026-08-17 01:12
A,results/validate_breadth.py,7176,2026-08-07 17:40
A,run_all.py,9820,2026-08-20 14:48
A/D1,results/survivorship.py,30035,2026-08-19 09:00
B,data/nse_trading_calendar.csv,72853,2026-08-20 18:22
B,data/raw/.DS_Store,10244,2026-08-21 18:09
B,data/raw/.gitkeep,0,2026-06-21 23:10
B,data/raw/Development_data_files/ADANIENSOL.csv,128072,2026-07-14 03:58
B,data/raw/Development_data_files/ADANIPORTS.csv,130744,2026-07-14 03:58
B,data/raw/Development_data_files/ADANIPOWER.csv,119588,2026-07-14 03:58
B,data/raw/Development_data_files/AMBUJACEM.csv,128596,2026-07-14 03:58
B,data/raw/Development_data_files/APOLLOHOSP.csv,137754,2026-07-14 03:58
B,data/raw/Development_data_files/ASIANPAINT.csv,138073,2026-07-14 03:58
B,data/raw/Development_data_files/AXISBANK.csv,131741,2026-07-14 03:58
B,data/raw/Development_data_files/BAJAJAUTO.csv,138086,2026-07-14 03:58
B,data/raw/Development_data_files/BAJAJFINSV.csv,135094,2026-07-14 03:58
B,data/raw/Development_data_files/BAJAJHLDNG.csv,136916,2026-07-14 03:58
B,data/raw/Development_data_files/BAJFINANCE.csv,129246,2026-07-14 03:58
B,data/raw/Development_data_files/BANKBARODA.csv,127970,2026-07-14 03:58
B,data/raw/Development_data_files/BEL.csv,125713,2026-07-14 03:58
B,data/raw/Development_data_files/BHARTIARTL.csv,134674,2026-07-14 03:58
B,data/raw/Development_data_files/BOSCHLTD.csv,147103,2026-07-14 03:58
B,data/raw/Development_data_files/BRITANNIA.csv,138367,2026-07-14 03:58
B,data/raw/Development_data_files/CGPOWER.csv,120866,2026-07-14 03:58
B,data/raw/Development_data_files/CHOLAFIN.csv,131430,2026-07-14 03:58
B,data/raw/Development_data_files/CIPLA.csv,131605,2026-07-14 03:58
B,data/raw/Development_data_files/COALINDIA.csv,129483,2026-07-14 03:58
B,data/raw/Development_data_files/CUMMINSIND.csv,130831,2026-07-14 03:58
B,data/raw/Development_data_files/DIVISLAB.csv,136870,2026-07-14 03:58
B,data/raw/Development_data_files/DLF.csv,129031,2026-07-14 03:58
B,data/raw/Development_data_files/DRREDDY.csv,130659,2026-07-14 03:58
B,data/raw/Development_data_files/EICHERMOT.csv,139616,2026-07-14 03:58
B,data/raw/Development_data_files/GODREJCP.csv,131175,2026-07-14 03:58
B,data/raw/Development_data_files/GRASIM.csv,139159,2026-07-14 03:58
B,data/raw/Development_data_files/HCLTECH.csv,134217,2026-07-14 03:58
B,data/raw/Development_data_files/HDFCBANK.csv,132478,2026-07-14 03:58
B,data/raw/Development_data_files/HINDALCO.csv,129035,2026-07-14 03:58
B,data/raw/Development_data_files/HINDUNILVR.csv,144614,2026-07-14 03:58
B,data/raw/Development_data_files/HINDZINC.csv,127557,2026-07-14 03:58
B,data/raw/Development_data_files/ICICIBANK.csv,133616,2026-07-14 03:58
B,data/raw/Development_data_files/INDHOTEL.csv,127651,2026-07-14 03:58
B,data/raw/Development_data_files/INDIGO.csv,136807,2026-07-14 03:58
B,data/raw/Development_data_files/INFY.csv,135732,2026-07-14 03:58
B,data/raw/Development_data_files/JINDALSTEL.csv,128113,2026-07-14 03:58
B,data/raw/Development_data_files/JSWSTEEL.csv,129808,2026-07-14 03:58
B,data/raw/Development_data_files/KOTAKBANK.csv,132176,2026-07-14 03:58
B,data/raw/Development_data_files/LT.csv,138705,2026-07-14 03:58
B,data/raw/Development_data_files/MARUTI.csv,140604,2026-07-14 03:58
B,data/raw/Development_data_files/MM.csv,132857,2026-07-14 03:58
B,data/raw/Development_data_files/MOTHERSON.csv,123052,2026-07-14 03:58
B,data/raw/Development_data_files/MUTHOOTFIN.csv,132814,2026-07-14 03:58
B,data/raw/Development_data_files/NESTLEIND.csv,131295,2026-07-14 03:58
B,data/raw/Development_data_files/NTPC.csv,131031,2026-07-14 03:58
B,data/raw/Development_data_files/ONGC.csv,129454,2026-07-14 03:58
B,data/raw/Development_data_files/PFC.csv,125743,2026-07-14 03:58
B,data/raw/Development_data_files/PIDILITIND.csv,134129,2026-07-14 03:58
B,data/raw/Development_data_files/PNB.csv,123814,2026-07-14 03:58
B,data/raw/Development_data_files/POWERGRID.csv,132728,2026-07-14 03:58
B,data/raw/Development_data_files/RECLTD.csv,128504,2026-07-14 03:58
