tag,sigma,noise_seed,v2_cagr,bh_cagr,gap,v2_tax,v2_final_equity,rows,bound_crossings,minutes,run_date,script_sha256,perturb_sha256
midcap150,0.0,0,24.155066,23.55409,0.600976,789611.11,4964665.64,572399,0,16.72,2026-09-25 11:59,220e53d88126b849,c0a78e120d6e948b
midcap150,0.0001,101,28.420895,23.554068,4.866828,1087493.28,6375930.94,572399,13216,16.64,2026-09-25 12:16,220e53d88126b849,c0a78e120d6e948b
midcap150,0.0001,202,25.235006,23.554015,1.680991,870806.87,5293534.46,572399,13243,16.58,2026-09-25 12:32,220e53d88126b849,c0a78e120d6e948b
midcap150,0.0001,303,22.301695,23.55243,-1.250735,706023.5,4441349.81,572399,13303,16.58,2026-09-25 12:49,220e53d88126b849,c0a78e120d6e948b
midcap150,0.0001,404,23.995427,23.55416,0.441267,809927.39,4917583.73,572399,13254,16.58,2026-09-25 13:06,220e53d88126b849,c0a78e120d6e948b
midcap150,0.0001,505,26.387808,23.553602,2.834206,975551.82,5665223.27,572399,13273,16.74,2026-09-25 13:22,220e53d88126b849,c0a78e120d6e948b
midcap150,0.0001,606,27.732192,23.554203,4.177988,1045607.06,6127007.55,572399,13281,17.23,2026-09-25 13:39,220e53d88126b849,c0a78e120d6e948b
midcap150,0.0001,707,24.701271,23.55404,1.147231,847446.63,5128718.16,572399,13258,17.63,2026-09-25 13:57,220e53d88126b849,c0a78e120d6e948b
midcap150,0.0001,808,24.625905,23.55399,1.071915,826802.44,5105806.84,572399,13222,17.9,2026-09-25 14:15,220e53d88126b849,c0a78e120d6e948b
midcap150,0.0001,909,24.67618,23.554249,1.121931,840062.8,5121080.72,572399,13278,17.88,2026-09-25 14:33,220e53d88126b849,c0a78e120d6e948b
midcap150,0.0001,1010,22.587304,23.553904,-0.966599,719438.56,4518739.27,572399,13280,17.41,2026-09-25 14:50,220e53d88126b849,c0a78e120d6e948b
nifty500,0.0,0,26.316803,24.429458,1.887345,963689.19,5641694.41,1857499,0,60.57,2026-09-25 15:51,220e53d88126b849,c0a78e120d6e948b
nifty500,0.0001,101,23.748496,24.429502,-0.681007,786740.14,4845517.78,1857499,46020,59.6,2026-09-25 16:51,220e53d88126b849,c0a78e120d6e948b
nifty500,0.0001,202,24.000328,24.429498,-0.429171,794120.59,4919023.31,1857499,46030,58.71,2026-09-25 17:49,220e53d88126b849,c0a78e120d6e948b
nifty500,0.0001,303,22.885135,24.429458,-1.544323,710464.68,4600679.93,1857499,46026,59.14,2026-09-25 18:48,220e53d88126b849,c0a78e120d6e948b
nifty500,0.0001,404,26.300433,24.429588,1.870844,926129.63,5636282.0,1857499,45976,56.95,2026-09-25 19:45,220e53d88126b849,c0a78e120d6e948b
nifty500,0.0001,505,26.130931,24.429357,1.701574,915302.38,5580502.87,1857499,45898,57.57,2026-09-25 20:43,220e53d88126b849,c0a78e120d6e948b
nifty500,0.0001,606,24.368464,24.429573,-0.061109,817796.68,5028211.0,1857499,45918,57.46,2026-09-25 21:40,220e53d88126b849,c0a78e120d6e948b
nifty500,0.0001,707,23.929447,24.431637,-0.50219,787244.76,4898237.6,1857499,45898,55.88,2026-09-25 22:36,220e53d88126b849,c0a78e120d6e948b
nifty500,0.0001,808,22.982143,24.42507,-1.442927,726955.02,4627645.37,1857499,46004,58.5,2026-09-25 23:35,220e53d88126b849,c0a78e120d6e948b
nifty500,0.0001,909,23.033648,24.431904,-1.398256,749421.51,4642017.5,1857499,45945,56.32,2026-09-26 00:31,220e53d88126b849,c0a78e120d6e948b
nifty500,0.0001,1010,24.188791,24.429447,-0.240656,796833.18,4974661.88,1857499,46058,55.69,2026-09-26 01:27,220e53d88126b849,c0a78e120d6e948b
