universe,threshold,re_entry_wait,CAGR_pct,dCAGR_vs_control,floor_verdict,seed_floor_CAGR,Sharpe,MaxDD_pct,AnnVol_pct,trades,TC_Rs,TC_pct_of_final_equity,final_equity,deployed_pct,n_fires,n_exits,n_reentries,days_flat,pct_of_window_flat
n100,control,,25.78,0.0,control,0.97,1.86,-19.87,12.97,978,245987.05,4.5011,5465013.26,56.59,0,0,0,0,0.0
n100,0.1,5,24.17,-1.61,outside,0.97,1.81,-19.08,12.59,963,234074.61,4.7098,4969932.33,55.93,8,4,4,80,4.36
n100,0.1,20,23.04,-2.74,outside,0.97,1.74,-19.08,12.55,951,220371.66,4.745,4644251.65,55.32,8,4,4,100,5.45
n100,0.1,40,23.7,-2.08,outside,0.97,1.86,-15.66,12.05,907,219333.29,4.5383,4832896.15,53.11,8,4,4,180,9.8
n100,0.125,5,26.09,0.31,INSIDE,0.97,1.9,-18.46,12.82,980,250677.84,4.5032,5566632.48,56.59,2,1,1,21,1.14
n100,0.125,20,26.09,0.31,INSIDE,0.97,1.9,-18.46,12.82,980,250677.84,4.5032,5566632.48,56.59,2,1,1,21,1.14
n100,0.125,40,26.25,0.47,INSIDE,0.97,1.94,-15.01,12.64,972,251957.5,4.4836,5619543.84,55.84,2,1,1,41,2.23
n100,0.15,5,25.14,-0.64,INSIDE,0.97,1.83,-22.92,12.9,980,237892.86,4.5192,5264004.43,56.59,2,1,1,20,1.09
n100,0.15,20,25.14,-0.64,INSIDE,0.97,1.83,-22.92,12.9,980,237892.86,4.5192,5264004.43,56.59,2,1,1,20,1.09
n100,0.15,40,25.3,-0.48,INSIDE,0.97,1.87,-19.67,12.71,972,239074.1,4.4978,5315404.64,55.84,2,1,1,40,2.18
n100,0.2,5,25.78,0.0,INSIDE,0.97,1.86,-19.87,12.97,978,245987.05,4.5011,5465013.26,56.59,0,0,0,0,0.0
n100,0.2,20,25.78,0.0,INSIDE,0.97,1.86,-19.87,12.97,978,245987.05,4.5011,5465013.26,56.59,0,0,0,0,0.0
n100,0.2,40,25.78,0.0,INSIDE,0.97,1.86,-19.87,12.97,978,245987.05,4.5011,5465013.26,56.59,0,0,0,0,0.0
n100,0.25,5,25.78,0.0,INSIDE,0.97,1.86,-19.87,12.97,978,245987.05,4.5011,5465013.26,56.59,0,0,0,0,0.0
n100,0.25,20,25.78,0.0,INSIDE,0.97,1.86,-19.87,12.97,978,245987.05,4.5011,5465013.26,56.59,0,0,0,0,0.0
n100,0.25,40,25.78,0.0,INSIDE,0.97,1.86,-19.87,12.97,978,245987.05,4.5011,5465013.26,56.59,0,0,0,0,0.0
mid,control,,29.7,0.0,control,1.39,2.03,-18.88,13.51,963,229837.15,3.3491,6862643.48,54.08,0,0,0,0,0.0
mid,0.1,5,29.22,-0.48,INSIDE,1.39,2.01,-18.76,13.43,969,226769.39,3.3969,6675858.28,54.05,6,3,3,50,2.72
mid,0.1,20,29.26,-0.44,INSIDE,1.39,2.02,-18.76,13.39,943,224617.52,3.3578,6689376.17,53.55,6,3,3,90,4.9
mid,0.1,40,27.12,-2.58,outside,1.39,1.93,-18.29,13.13,913,205115.25,3.4687,5913266.56,51.68,6,3,3,150,8.17
mid,0.125,5,30.22,0.52,INSIDE,1.39,2.07,-14.83,13.42,953,236256.65,3.3424,7068528.75,54.05,2,1,1,22,1.2
mid,0.125,20,30.22,0.52,INSIDE,1.39,2.07,-14.83,13.42,953,236256.65,3.3424,7068528.75,54.05,2,1,1,22,1.2
mid,0.125,40,29.87,0.17,INSIDE,1.39,2.07,-14.34,13.28,941,230813.48,3.3315,6928218.5,53.29,2,1,1,42,2.29
mid,0.15,5,29.07,-0.63,INSIDE,1.39,1.99,-20.3,13.53,953,222443.34,3.3605,6619450.02,54.05,2,1,1,20,1.09
mid,0.15,20,29.07,-0.63,INSIDE,1.39,1.99,-20.3,13.53,953,222443.34,3.3605,6619450.02,54.05,2,1,1,20,1.09
mid,0.15,40,28.74,-0.96,INSIDE,1.39,1.99,-19.85,13.4,941,217597.43,3.3499,6495564.83,53.29,2,1,1,40,2.18
mid,0.2,5,29.7,0.0,INSIDE,1.39,2.03,-18.88,13.51,963,229837.15,3.3491,6862643.48,54.08,0,0,0,0,0.0
mid,0.2,20,29.7,0.0,INSIDE,1.39,2.03,-18.88,13.51,963,229837.15,3.3491,6862643.48,54.08,0,0,0,0,0.0
mid,0.2,40,29.7,0.0,INSIDE,1.39,2.03,-18.88,13.51,963,229837.15,3.3491,6862643.48,54.08,0,0,0,0,0.0
mid,0.25,5,29.7,0.0,INSIDE,1.39,2.03,-18.88,13.51,963,229837.15,3.3491,6862643.48,54.08,0,0,0,0,0.0
mid,0.25,20,29.7,0.0,INSIDE,1.39,2.03,-18.88,13.51,963,229837.15,3.3491,6862643.48,54.08,0,0,0,0,0.0
mid,0.25,40,29.7,0.0,INSIDE,1.39,2.03,-18.88,13.51,963,229837.15,3.3491,6862643.48,54.08,0,0,0,0,0.0
