date,n100_control,n100_th0.1_w5,n100_th0.1_w20,n100_th0.1_w40,n100_th0.125_w5,n100_th0.125_w20,n100_th0.125_w40,n100_th0.15_w5,n100_th0.15_w20,n100_th0.15_w40,n100_th0.2_w5,n100_th0.2_w20,n100_th0.2_w40,n100_th0.25_w5,n100_th0.25_w20,n100_th0.25_w40,mid_control,mid_th0.1_w5,mid_th0.1_w20,mid_th0.1_w40,mid_th0.125_w5,mid_th0.125_w20,mid_th0.125_w40,mid_th0.15_w5,mid_th0.15_w20,mid_th0.15_w40,mid_th0.2_w5,mid_th0.2_w20,mid_th0.2_w40,mid_th0.25_w5,mid_th0.25_w20,mid_th0.25_w40
2019-01-01,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2019-01-02,995707.6603649999,995707.6603649999,995707.6603649999,995707.6603649999,995707.6603649999,995707.6603649999,995707.6603649999,995707.6603649999,995707.6603649999,995707.6603649999,995707.6603649999,995707.6603649999,995707.6603649999,995707.6603649999,995707.6603649999,995707.6603649999,996500.90187,996500.90187,996500.90187,996500.90187,996500.90187,996500.90187,996500.90187,996500.90187,996500.90187,996500.90187,996500.90187,996500.90187,996500.90187,996500.90187,996500.90187,996500.90187
2019-01-03,991974.0415650001,991974.0415650001,991974.0415650001,991974.0415650001,991974.0415650001,991974.0415650001,991974.0415650001,991974.0415650001,991974.0415650001,991974.0415650001,991974.0415650001,991974.0415650001,991974.0415650001,991974.0415650001,991974.0415650001,991974.0415650001,997867.12187,997867.12187,997867.12187,997867.12187,997867.12187,997867.12187,997867.12187,997867.12187,997867.12187,997867.12187,997867.12187,997867.12187,997867.12187,997867.12187,997867.12187,997867.12187
2019-01-04,991013.6511649999,991013.6511649999,991013.6511649999,991013.6511649999,991013.6511649999,991013.6511649999,991013.6511649999,991013.6511649999,991013.6511649999,991013.6511649999,991013.6511649999,991013.6511649999,991013.6511649999,991013.6511649999,991013.6511649999,991013.6511649999,997384.58187,997384.58187,997384.58187,997384.58187,997384.58187,997384.58187,997384.58187,997384.58187,997384.58187,997384.58187,997384.58187,997384.58187,997384.58187,997384.58187,997384.58187,997384.58187
2019-01-07,992313.290765,992313.290765,992313.290765,992313.290765,992313.290765,992313.290765,992313.290765,992313.290765,992313.290765,992313.290765,992313.290765,992313.290765,992313.290765,992313.290765,992313.290765,992313.290765,996786.2518699999,996786.2518699999,996786.2518699999,996786.2518699999,996786.2518699999,996786.2518699999,996786.2518699999,996786.2518699999,996786.2518699999,996786.2518699999,996786.2518699999,996786.2518699999,996786.2518699999,996786.2518699999,996786.2518699999,996786.2518699999
2019-01-08,994630.9139650001,994630.9139650001,994630.9139650001,994630.9139650001,994630.9139650001,994630.9139650001,994630.9139650001,994630.9139650001,994630.9139650001,994630.9139650001,994630.9139650001,994630.9139650001,994630.9139650001,994630.9139650001,994630.9139650001,994630.9139650001,995983.43187,995983.43187,995983.43187,995983.43187,995983.43187,995983.43187,995983.43187,995983.43187,995983.43187,995983.43187,995983.43187,995983.43187,995983.43187,995983.43187,995983.43187,995983.43187
2019-01-09,998425.9147649999,998425.9147649999,998425.9147649999,998425.9147649999,998425.9147649999,998425.9147649999,998425.9147649999,998425.9147649999,998425.9147649999,998425.9147649999,998425.9147649999,998425.9147649999,998425.9147649999,998425.9147649999,998425.9147649999,998425.9147649999,1001064.0018699999,1001064.0018699999,1001064.0018699999,1001064.0018699999,1001064.0018699999,1001064.0018699999,1001064.0018699999,1001064.0018699999,1001064.0018699999,1001064.0018699999,1001064.0018699999,1001064.0018699999,1001064.0018699999,1001064.0018699999,1001064.0018699999,1001064.0018699999
2019-01-10,999839.599565,999839.599565,999839.599565,999839.599565,999839.599565,999839.599565,999839.599565,999839.599565,999839.599565,999839.599565,999839.599565,999839.599565,999839.599565,999839.599565,999839.599565,999839.599565,996689.6318699999,996689.6318699999,996689.6318699999,996689.6318699999,996689.6318699999,996689.6318699999,996689.6318699999,996689.6318699999,996689.6318699999,996689.6318699999,996689.6318699999,996689.6318699999,996689.6318699999,996689.6318699999,996689.6318699999,996689.6318699999
2019-01-11,996567.4531650001,996567.4531650001,996567.4531650001,996567.4531650001,996567.4531650001,996567.4531650001,996567.4531650001,996567.4531650001,996567.4531650001,996567.4531650001,996567.4531650001,996567.4531650001,996567.4531650001,996567.4531650001,996567.4531650001,996567.4531650001,994852.31187,994852.31187,994852.31187,994852.31187,994852.31187,994852.31187,994852.31187,994852.31187,994852.31187,994852.31187,994852.31187,994852.31187,994852.31187,994852.31187,994852.31187,994852.31187
2019-01-14,993720.3891649998,993720.3891649998,993720.3891649998,993720.3891649998,993720.3891649998,993720.3891649998,993720.3891649998,993720.3891649998,993720.3891649998,993720.3891649998,993720.3891649998,993720.3891649998,993720.3891649998,993720.3891649998,993720.3891649998,993720.3891649998,992746.8918699999,992746.8918699999,992746.8918699999,992746.8918699999,992746.8918699999,992746.8918699999,992746.8918699999,992746.8918699999,992746.8918699999,992746.8918699999,992746.8918699999,992746.8918699999,992746.8918699999,992746.8918699999,992746.8918699999,992746.8918699999
2019-01-15,998421.1159649999,998421.1159649999,998421.1159649999,998421.1159649999,998421.1159649999,998421.1159649999,998421.1159649999,998421.1159649999,998421.1159649999,998421.1159649999,998421.1159649999,998421.1159649999,998421.1159649999,998421.1159649999,998421.1159649999,998421.1159649999,999481.39187,999481.39187,999481.39187,999481.39187,999481.39187,999481.39187,999481.39187,999481.39187,999481.39187,999481.39187,999481.39187,999481.39187,999481.39187,999481.39187,999481.39187,999481.39187
2019-01-16,996115.4647649999,996115.4647649999,996115.4647649999,996115.4647649999,996115.4647649999,996115.4647649999,996115.4647649999,996115.4647649999,996115.4647649999,996115.4647649999,996115.4647649999,996115.4647649999,996115.4647649999,996115.4647649999,996115.4647649999,996115.4647649999,1001873.2318699999,1001873.2318699999,1001873.2318699999,1001873.2318699999,1001873.2318699999,1001873.2318699999,1001873.2318699999,1001873.2318699999,1001873.2318699999,1001873.2318699999,1001873.2318699999,1001873.2318699999,1001873.2318699999,1001873.2318699999,1001873.2318699999,1001873.2318699999
