universe,threshold,re_entry_wait,kind,trigger_date,fill_date,drawdown_pct,portfolio_value,n_held
n100,0.1,5,EXIT,2020-03-12,2020-03-13,-11.5256,1018424.98,9
n100,0.1,5,REENTRY,2020-04-22,,-14.4635,984606.41,0
n100,0.1,5,EXIT,2022-02-24,2022-02-25,-11.7619,1774494.56,11
n100,0.1,5,REENTRY,2022-03-24,,-11.1447,1786906.99,0
n100,0.1,20,EXIT,2020-03-12,2020-03-13,-11.5256,1018424.98,9
n100,0.1,20,REENTRY,2020-04-22,,-14.4635,984606.41,0
n100,0.1,20,EXIT,2022-02-24,2022-02-25,-11.7619,1774494.56,11
n100,0.1,20,REENTRY,2022-04-25,,-11.1447,1786906.99,0
n100,0.1,40,EXIT,2020-03-12,2020-03-13,-11.5256,1018424.98,9
n100,0.1,40,REENTRY,2020-05-21,,-14.4635,984606.41,0
n100,0.1,40,EXIT,2022-02-24,2022-02-25,-11.7782,1844860.67,11
n100,0.1,40,REENTRY,2022-05-24,,-11.1605,1857777.92,0
n100,0.125,5,EXIT,2020-03-16,2020-03-17,-12.5799,1006289.35,9
n100,0.125,5,REENTRY,2020-04-22,,-12.6506,1005474.77,0
n100,0.125,20,EXIT,2020-03-16,2020-03-17,-12.5799,1006289.35,9
n100,0.125,20,REENTRY,2020-04-22,,-12.6506,1005474.77,0
n100,0.125,40,EXIT,2020-03-16,2020-03-17,-12.5799,1006289.35,9
n100,0.125,40,REENTRY,2020-05-21,,-12.6506,1005474.77,0
n100,0.15,5,EXIT,2020-03-18,2020-03-19,-15.2723,975296.33,9
n100,0.15,5,REENTRY,2020-04-22,,-17.3602,951262.95,0
n100,0.15,20,EXIT,2020-03-18,2020-03-19,-15.2723,975296.33,9
n100,0.15,20,REENTRY,2020-04-22,,-17.3602,951262.95,0
n100,0.15,40,EXIT,2020-03-18,2020-03-19,-15.2723,975296.33,9
n100,0.15,40,REENTRY,2020-05-21,,-17.3602,951262.95,0
mid,0.1,5,EXIT,2020-03-16,2020-03-17,-10.2513,1006887.39,9
mid,0.1,5,REENTRY,2020-04-22,,-10.2416,1006995.55,0
mid,0.1,5,EXIT,2022-06-20,2022-06-21,-10.9304,2476065.18,10
mid,0.1,5,REENTRY,2022-07-19,,-10.8136,2479311.24,0
mid,0.1,5,EXIT,2022-12-23,2022-12-26,-10.9345,2679329.42,10
mid,0.1,5,REENTRY,2023-01-11,,-11.6265,2658512.57,0
mid,0.1,5,EXIT,2025-02-14,2025-02-17,-10.0447,5479229.14,8
mid,0.1,5,REENTRY,2025-03-17,,-10.3842,5458549.43,0
mid,0.1,20,EXIT,2020-03-16,2020-03-17,-10.2513,1006887.39,9
mid,0.1,20,REENTRY,2020-04-22,,-10.2416,1006995.55,0
mid,0.1,20,EXIT,2022-06-20,2022-06-21,-10.9304,2476065.18,10
mid,0.1,20,REENTRY,2022-07-19,,-10.8136,2479311.24,0
mid,0.1,20,EXIT,2022-12-23,2022-12-26,-10.9345,2679329.42,10
mid,0.1,20,REENTRY,2023-02-09,,-11.6265,2658512.57,0
mid,0.1,20,EXIT,2025-01-13,2025-01-14,-10.0143,5534435.2,10
mid,0.1,20,REENTRY,2025-02-13,,-10.1116,5528447.07,0
mid,0.1,40,EXIT,2020-03-16,2020-03-17,-10.2513,1006887.39,9
mid,0.1,40,REENTRY,2020-05-21,,-10.2416,1006995.55,0
mid,0.1,40,EXIT,2022-06-20,2022-06-21,-10.9009,2423377.66,10
mid,0.1,40,REENTRY,2022-08-18,,-10.7815,2426624.82,0
mid,0.1,40,EXIT,2022-12-23,2022-12-26,-10.9495,2419429.54,10
mid,0.1,40,REENTRY,2023-03-10,,-11.6517,2400350.79,0
mid,0.1,40,EXIT,2025-02-14,2025-02-17,-10.0496,4969365.37,8
mid,0.1,40,REENTRY,2025-05-19,,-10.391,4950505.42,0
mid,0.125,5,EXIT,2020-03-19,2020-03-20,-14.2422,962113.37,9
mid,0.125,5,REENTRY,2020-04-22,,-14.1231,963449.1,0
mid,0.125,20,EXIT,2020-03-19,2020-03-20,-14.2422,962113.37,9
mid,0.125,20,REENTRY,2020-05-21,,-14.1231,963449.1,0
mid,0.125,40,EXIT,2020-03-19,2020-03-20,-14.2422,962113.37,9
mid,0.125,40,REENTRY,2020-06-19,,-14.1231,963449.1,0
mid,0.15,5,EXIT,2020-03-24,2020-03-25,-15.6246,946603.84,9
mid,0.15,5,REENTRY,2020-04-22,,-15.8339,944256.18,0
mid,0.15,20,EXIT,2020-03-24,2020-03-25,-15.6246,946603.84,9
mid,0.15,20,REENTRY,2020-05-21,,-15.8339,944256.18,0
mid,0.15,40,EXIT,2020-03-24,2020-03-25,-15.6246,946603.84,9
mid,0.15,40,REENTRY,2020-06-19,,-15.8339,944256.18,0
