cap,k,CAGR%,Sharpe,MaxDD%,trades,final,cap_BUY,cap_SELL,k_priced,k_exempt,dCAGR
none,none,27.8,1.9,-20.01,1006,6150398.56,0,0,0,0,0.0
1.00,none,27.8,1.9,-20.01,1006,6150398.56,0,0,0,0,0.0
0.10,none,27.61,1.89,-20.08,1009,6081997.46,7,3,0,0,-0.19
1.00,0.001,27.72,1.89,-20.02,1006,6121615.6,0,0,998,8,-0.08
1.00,0.002,27.66,1.89,-20.03,1006,6101757.59,0,0,998,8,-0.14
1.00,0.003,27.61,1.88,-20.04,1006,6082403.14,0,0,998,8,-0.19
1.00,0.005,27.5,1.88,-20.07,1006,6045739.93,0,0,998,8,-0.3
0.10,0.001,27.57,1.89,-20.05,1009,6069285.68,7,3,1001,8,-0.23
0.10,0.002,27.52,1.89,-20.06,1009,6051515.99,7,3,1001,8,-0.28
0.10,0.003,27.47,1.88,-20.07,1009,6032869.52,7,3,1001,8,-0.33
0.10,0.005,27.38,1.88,-20.08,1009,6001416.09,7,3,1001,8,-0.42
