cap,k,CAGR%,Sharpe,MaxDD%,trades,final,cap_BUY,cap_SELL,k_priced,k_exempt,dCAGR
none,none,19.01,1.5,-21.87,940,3628639.83,0,0,0,0,0.0
1.00,none,19.01,1.5,-21.87,940,3628639.83,0,0,0,0,0.0
0.10,none,18.88,1.49,-21.85,941,3599978.29,2,1,0,0,-0.13
1.00,0.001,18.99,1.5,-21.88,940,3624021.89,0,0,932,8,-0.02
1.00,0.002,18.98,1.5,-21.85,940,3621607.38,0,0,932,8,-0.03
1.00,0.003,18.94,1.49,-21.85,940,3613517.82,0,0,932,8,-0.07
1.00,0.005,18.88,1.49,-21.87,940,3600460.51,0,0,932,8,-0.13
0.10,0.001,18.86,1.49,-21.86,941,3594584.72,2,1,933,8,-0.15
0.10,0.002,18.85,1.49,-21.87,941,3591923.05,2,1,933,8,-0.16
0.10,0.003,18.82,1.49,-21.87,941,3586053.81,2,1,933,8,-0.19
0.10,0.005,18.78,1.48,-21.89,941,3576328.62,2,1,933,8,-0.23
