source,effective_date,inclusions,exclusions,n_inc,n_exc,unmapped_names
ind_prs03092012.pdf,2012-09-28,"APOLLOTYRE,BHUSANSTL,DISHTV","NCC,SCI,SOUTHBANK",3,3,
ind_prs24082015.pdf,2015-09-28,SOUTHBANK,CROMPGREAV,1,1,
ind_prs18092015.pdf,2015-10-19,AJANTPHARM,ABIRLANUVO,1,1,
ind_prs22022016_2.pdf,2016-04-01,,,0,0,
ind_prs12082016.pdf,2016-09-30,,,0,0,
ind_prs17102016.pdf,2016-11-15,,,0,0,
ind_prs16022017.pdf,2017-03-31,"APOLLOHOSP,BHARATFORG,CASTROLIND","HEXAWARE,PETRONET,RECLTD",3,3,
ind_prs27042017.pdf,2017-05-26,"DALMIABHA,MUTHOOTFIN","ABIRLANUVO,SUNTV",2,2,
ind_prs28082017.pdf,2017-09-29,"BERGEPAINT,DIVISLAB,MRPL,RBLBANK,UBL","BATAINDIA,JUBLFOOD,MRF,RELCAPITAL,WOCKPHARMA",5,5,
ind_prs29082017.pdf,2017-09-29,BERGEPAINT,RELCAPITAL,1,1,
ind_prs28112017.pdf,2017-12-29,NBCC,JSWENERGY,1,1,
ind_prs08012018.pdf,2018-02-05,"BALKRISIND,CHOLAFIN","CESC,STAR",2,2,
ind_prs21022018.pdf,2018-04-02,"DHFL,GLENMARK,RAMCOCEM,TATAPOWER,TORNTPHARM","ADANIENT,DALMIABHA,IRB,L&TFH,RCOM",5,5,
ind_prs24052018.pdf,2018-06-29,"INDIANB,NATIONALUM","ARVIND,TATACOMM",2,2,
ind_prs28082018.pdf,2018-09-28,"CUMMINSIND,JUBLFOOD,PFC,PNB,RECLTD","ADANIPOWER,BIOCON,ENGINERSIN,IDFC,PCJEWELLER",5,5,
ind_prs14122018.pdf,2018-12-28,HEXAWARE,CENTURYTEX,1,1,
ind_prs25022019.pdf,2019-03-29,"ADANIPOWER,BEL,LICHSGFIN,OIL,SUNTV","DISHTV,DIVISLAB,PAGEIND,RPOWER,UBL",5,5,
ind_prs13062019.pdf,2019-06-28,"BATAINDIA,MANAPPURAM,MFSL,TORNTPOWER","AJANTPHARM,GODREJIND,INDIANB,MRPL",4,4,
ind_prs28082019.pdf,2019-09-27,"BHEL,CESC,ESCORTS,MGL,MRF,SAIL","BERGEPAINT,DHFL,IDBI,PFC,PNB,RELINFRA",6,6,
ind_prs16122019.pdf,2019-12-27,NAUKRI,TATACHEM,1,1,
ind_prs18022020.pdf,2020-03-27,"ASHOKLEY,IBULHSGFIN,IDEA,L&TFH,YESBANK","CASTROLIND,HEXAWARE,NAUKRI,NBCC,TORNTPHARM",5,5,
ind_prs19032020.pdf,2020-03-27,NIITTECH,YESBANK,1,1,
ind_prs10062020.pdf,2020-06-26,"ASHOKLEY,GODREJPROP,IBULHSGFIN,IDEA,L&TFH","IGL,MUTHOOTFIN,NAUKRI,NBCC,TORNTPHARM",5,5,
ind_prs20082020.pdf,2020-09-25,"ADANIENT,COFORGE,PAGEIND,SRTRANSFIN,ZEEL","ADANIPOWER,CESC,HEXAWARE,OIL,TATACONSUM",5,5,
ind_prs23022021.pdf,2021-03-31,"AUBANK,BANKBARODA,CONCOR,IRCTC,PFC","ADANIENT,APOLLOHOSP,JUBLFOOD,MRF,NATIONALUM",5,5,
ind_prs22102021.pdf,2021-10-29,HAL,GMRINFRA,1,1,
ind_prs24022022_1.pdf,2022-03-31,"ABB,ABBOTINDIA,AUROPHARMA,HINDPETRO,JINDALSTEL,OFSS,TATACOMM","APOLLOTYRE,BANKINDIA,EXIDEIND,GLENMARK,MANAPPURAM,MINDTREE,SRF",7,7,
ind_prs05042022.pdf,2022-05-04,HONAUT,AARTIIND,1,1,
ind_prs11072022.pdf,2022-08-08,POLYCAB,TATAPOWER,1,1,
ind_prs01092022.pdf,2022-09-30,"INDHOTEL,JUBLFOOD,LUPIN,OBEROIRLTY,PERSISTENT,PNB,SAIL,ZYDUSLIFE","BEL,BHEL,HAL,IRCTC,L&TFH,MPHASIS,RAMCOCEM,SUNTV",8,8,
ind_prs17022023_1.pdf,2023-03-31,"BANDHANBNK,BIOCON,MPHASIS,NMDC","ABB,CANBK,PAGEIND,TORNTPOWER",4,4,
ind_prs04072023.pdf,2023-07-13,ABCAPITAL,JINDALSTEL,1,1,
ind_prs17082023.pdf,2023-09-29,"ACC,DALBHARAT,HDFCAMC,IGL,INDUSTOWER,PAGEIND","HONAUT,PNB,SHRIRAMFIN,TRENT,TVSMOTOR,ZYDUSLIFE",6,6,
ind_prs28022024.pdf,2024-03-28,"BHEL,DIXON,GMRINFRA,L&TFH,MAXHEALTH,PIIND,SUZLON,TIINDIA,UPL,YESBANK","ABBOTINDIA,BATAINDIA,BIOCON,IGL,LICHSGFIN,PFC,RECLTD,UBL,VOLTAS,ZEEL",10,10,
