source,effective_date,inclusions,exclusions,n_inc,n_exc,unmapped_names
ind_prs04032010.pdf,2010-03-09,,,0,0,
ind_prs01102010.pdf,2010-10-07,ADANIPOWER,ZEEL,1,1,
ind_prs17112011.pdf,2011-11-22,UNITECH,JINDALSAW,1,1,
ind_prs12122011.pdf,2011-12-14,JISLJALEQS,AREVAT&D,1,1,
ind_prs24082015.pdf,2015-09-28,"PAGEIND,PERSISTENT","CROMPGREAV,MAX",2,2,
ind_prs18092015.pdf,2015-10-19,APLLTD,ABIRLANUVO,1,1,
ind_prs22022016_2.pdf,2016-04-01,,,0,0,
ind_prs12082016.pdf,2016-09-30,,,0,0,
ind_prs17102016.pdf,2016-11-15,,,0,0,
ind_prs16022017.pdf,2017-03-31,"IBREALEST,ICICIPRULI,IDFCBANK,INDIACEM,RBLBANK","ADANIENT,HDIL,JUSTDIAL,PEL,SINTEX",5,5,
ind_prs27042017.pdf,2017-05-26,PNBHOUSING,ABIRLANUVO,1,1,
ind_prs28082017.pdf,2017-09-29,"ADANIENT,DIVISLAB,DMART,ESCORTS,FORTIS,INFIBEAM","MRF,PETRONET,RECLTD,RELCAPITAL,SPARC,WOCKPHARMA",6,6,
ind_prs29082017.pdf,2017-09-29,DMART,RELCAPITAL,1,1,
ind_prs08012018.pdf,2018-02-05,"BEML,GRAPHITE,RELCAPITAL","CESC,FORTIS,STAR",3,3,
ind_prs24052018.pdf,2018-06-29,"FRETAIL,QUESS","ARVIND,TATACOMM",2,2,
ind_prs28082018.pdf,2018-09-28,"AVANTIFEED,CUMMINSIND,ESCORTS,GRAPHITE,HEG,LTI,PFC,PNB,RECLTD","AIAENG,BIOCON,IBREALEST,ICICIGI,IDFC,IRB,KARURVYSYA,SUZLON,WOCKPHARMA",9,9,
ind_prs14122018.pdf,2018-12-28,"BBTC,VARROC","BHARATFIN,CENTURYTEX",2,2,
ind_prs25022019.pdf,2019-03-29,"ABCAPITAL,BEL,GSKCONS,LICHSGFIN,LTTS,OIL,PFIZER,SUNTV","AVANTIFEED,CENTRALBK,DIVISLAB,PAGEIND,PCJEWELLER,TV18BRDCST,UBL,VAKRANGEE",8,8,
ind_prs28082019.pdf,2019-09-27,"ALBK,BHEL,CESC,CUB,DALBHARAT,EMAMILTD,GODREJPROP,IPCALAB,MRF,ORIENTBANK,RNAM,SAIL","BERGEPAINT,DBL,DHFL,DISHTV,GRUH,GSKCONS,PFC,PNB,RELCAPITAL,RELINFRA,RPOWER,SPARC",12,12,
ind_prs16122019.pdf,2019-12-27,"FORTIS,VBL,WHIRLPOOL","ALBK,ORIENTBANK,TATACHEM",3,3,
ind_prs18022020.pdf,2020-03-27,"ADANIGAS,ADANIGREEN,ASHOKLEY,IBULHSGFIN,IDEA,IRCTC,L&TFH,NIITTECH,POLYCAB,YESBANK","FCONSUMER,GRAPHITE,HEG,IDBI,LTI,NAUKRI,NBCC,STRTECH,TORNTPHARM,VARROC",10,10,
ind_prs19032020.pdf,2020-03-27,PVR,YESBANK,1,1,
ind_prs10062020.pdf,2020-06-26,"AARTIIND,ADANIGAS,ASHOKLEY,GUJGASLTD,IBULHSGFIN,IDEA,IRCTC,L&TFH,LALPATHLAB,NIITTECH,POLYCAB,TRENT","ENGINERSIN,FCONSUMER,GRAPHITE,HEG,IGL,INDIANB,MUTHOOTFIN,NAUKRI,NBCC,STRTECH,TORNTPHARM,VARROC",12,12,
ind_prs20082020.pdf,2020-09-25,"ADANIENT,APLLTD,ISEC,NAVINFLUOR,PAGEIND,SANOFI,SRTRANSFIN,TATACHEM,YESBANK,ZEEL","ADANIPOWER,ALKEM,HEXAWARE,IDBI,JUBILANT,LTI,MRPL,PNBHOUSING,QUESS,TATACONSUM",10,10,
ind_prs23022021.pdf,2021-03-31,"BANKBARODA,CONCOR,DEEPAKNTR,DIXON,HAL,HINDZINC,INDIAMART,LAURUSLABS,PFC,TATAELXSI","ADANIENT,APOLLOHOSP,EDELWEISS,FRETAIL,HUDCO,JUBLFOOD,MRF,NATIONALUM,RAJESHEXPO,YESBANK",10,10,
ind_prs22102021.pdf,2021-10-29,SONACOMS,GMRINFRA,1,1,
ind_prs24022022_1.pdf,2022-03-31,"ABB,ABBOTINDIA,AUROPHARMA,CLEAN,HINDPETRO,IDBI,IEX,IGL,JINDALSTEL,MAXHEALTH,METROPOLIS,OFSS,PERSISTENT,POLICYBZR,TRIDENT,YESBANK","AJANTPHARM,AMARAJABAT,CASTROLIND,CUB,DHANI,ENDURANCE,GODREJIND,HINDCOPPER,IRFC,MGL,MINDTREE,NATCOPHARM,PFIZER,RBLBANK,SANOFI,SRF",16,16,
ind_prs05042022.pdf,2022-05-04,HONAUT,AARTIIND,1,1,
ind_prs11072022.pdf,2022-08-08,DELHIVERY,TATAPOWER,1,1,
ind_prs01092022.pdf,2022-09-30,"AWL,JUBLFOOD,LINDEINDIA,LUPIN,MSUMI,PATANJALI,PNB,POONAWALLA,SAIL,TIINDIA,TTML,ZYDUSLIFE","APLLTD,APOLLOTYRE,ATGL,BEL,EXIDEIND,GLENMARK,HAL,IDBI,IRCTC,MANAPPURAM,METROPOLIS,MPHASIS",12,12,
ind_prs17022023_1.pdf,2023-03-31,"ADANIPOWER,APOLLOTYRE,BANDHANBNK,BIOCON,CGPOWER,DEVYANI,FLUOROCHEM,GLAND,IRFC,MPHASIS,NHPC,NMDC,PAYTM,PEL","ABB,AWL,CANBK,CLEAN,EMAMILTD,GSPL,IEX,INDIAMART,ISEC,LINDEINDIA,NAM-INDIA,NATIONALUM,PAGEIND,VBL",14,14,
ind_prs04072023.pdf,2023-07-13,MANKIND,JINDALSTEL,1,1,
ind_prs17082023.pdf,2023-09-29,"ACC,APLAPOLLO,BDL,FACT,HDFCAMC,INDUSTOWER,KPITTECH,LODHA,MAZDOCK,NYKAA,PAGEIND,RVNL","ABBOTINDIA,HINDZINC,HONAUT,OFSS,PNB,SHRIRAMFIN,TRENT,TRIDENT,TTML,TVSMOTOR,WHIRLPOOL,ZYDUSLIFE",12,12,
ind_prs28022024.pdf,2024-03-28,"GMRINFRA,IDBI,IREDA,JSWINFRA,KALYANKJIL,MAHABANK,OFSS,PIIND,SJVN,SUPREMEIND,SUZLON,TATATECH,UPL","ADANIPOWER,BATAINDIA,COROMANDEL,CROMPTON,DEVYANI,FLUOROCHEM,IRFC,MSUMI,NAVINFLUOR,PFC,RAMCOCEM,RECLTD,UBL",13,13,
ind_prs23082024.pdf,2024-09-30,"BHARTIHEXA,CENTRALBK,COCHINSHIP,COLPAL,EXIDEIND,HINDZINC,HUDCO,IOB,IRB,IREDA,MARICO,MRPL,MUTHOOTFIN,NLCINDIA,PHOENIXLTD,SBICARD,SOLARINDS,SRF,SUNDARMFIN","BHEL,DALBHARAT,DEEPAKNTR,FORTIS,GLAND,GUJGASLTD,IDEA,IPCALAB,JSWENERGY,LALPATHLAB,LAURUSLABS,LODHA,LTTS,NHPC,PEL,SUNTV,SYNGENE,UNIONBANK,ZEEL",19,19,
ind_prs21022025.pdf,2025-03-28,"ATGL,BHEL,GLENMARK,IRCTC,MOTILALOFS,NATIONALUM,NHPC,NTPCGREEN,OLAELEC,PREMIERENE,UNIONBANK,VMM,WAAREEENER","BALKRISIND,CGPOWER,DELHIVERY,FACT,IDBI,INDHOTEL,IOB,JSWINFRA,MRPL,NLCINDIA,POONAWALLA,SUNDARMFIN,TATACHEM",13,13,
ind_prs22082025.pdf,2025-09-30,"360ONE,BLUESTARCO,COROMANDEL,DABUR,FORTIS,GODFRYPHLP,HEROMOTOCO,INDUSINDBK,ITCHOTELS,KEI,POWERINDIA,SWIGGY","ABFRL,APOLLOTYRE,BANDHANBNK,ESCORTS,HINDZINC,MAHABANK,MAXHEALTH,MAZDOCK,OLAELEC,PETRONET,SJVN,SOLARINDS",12,12,
ind_prs23022026.pdf,2026-03-30,"GROWW,GVT&D,HAVELLS,ICICIAMC,ICICIGI,JSWENERGY,LAURUSLABS,LENSKART,LGEINDIA,MCX,NAUKRI,RADICO,TATAINVEST","ACC,BHARTIHEXA,CUMMINSIND,HDFCAMC,IGL,IRB,ITCHOTELS,MUTHOOTFIN,NTPCGREEN,SONACOMS,TATATECH,TORNTPOWER,UNIONBANK",13,13,
ind_prs10082026.pdf,2026-09-30,"APARINDS,HINDCOPPER,INDHOTEL,LICI,LODHA,MAHABANK,MEESHO,NLCINDIA,RECLTD,UNITDSPR","ALKEM,BSE,COROMANDEL,HUDCO,IDEA,KPITTECH,POLYCAB,POWERINDIA,TATAELXSI,TATAINVEST",10,10,
ind_prs01122011.pdf,,DISHTV,IBREALEST,1,1,
ind_prs08092006_1.pdf,,,,0,0,
ind_prs15032013.pdf,,IPCALAB,INDIABULLS,1,1,
ind_prs19042011.pdf,,PANTALOONR,IBREALEST,1,1,
