universe,arm,fills,fills_with_median,max_part_pct,p99_part_pct,research_fills_at_or_over_cap,pct_research_fills_at_or_over_cap,max_x5,max_x20,cap_can_fire
nifty500,v1,940,932,169.078,48.857,2,0.215,845.391,3381.566,YES
nifty500,v2,1119,1111,61.645,22.76,0,0.0,308.226,1232.904,no
nifty500,v3,948,940,216.58,49.274,3,0.319,1082.899,4331.595,YES
nifty500,v4,1117,1109,81.799,21.555,0,0.0,408.995,1635.979,no
nifty200,v1,822,814,36.88,18.993,0,0.0,184.4,737.601,no
nifty200,v2,985,977,37.481,7.511,0,0.0,187.404,749.617,no
nifty200,v3,790,782,28.772,12.307,0,0.0,143.858,575.434,no
nifty200,v4,975,967,12.115,4.583,0,0.0,60.577,242.307,no
nifty100,v1,773,765,31.772,3.726,0,0.0,158.86,635.441,no
nifty100,v2,940,932,35.424,1.637,0,0.0,177.119,708.478,no
nifty100,v3,716,708,26.24,3.981,0,0.0,131.199,524.797,no
nifty100,v4,934,926,18.512,1.74,0,0.0,92.561,370.242,no
nifty50,v1,664,656,1.575,0.784,0,0.0,7.877,31.51,no
nifty50,v2,861,853,0.883,0.324,0,0.0,4.413,17.651,no
nifty50,v3,641,633,2.502,0.953,0,0.0,12.508,50.03,no
nifty50,v4,865,857,1.221,0.357,0,0.0,6.107,24.428,no
midcap150,v1,850,842,70.931,26.365,0,0.0,354.655,1418.62,no
midcap150,v2,1006,998,34.458,11.128,0,0.0,172.289,689.157,no
midcap150,v3,814,806,52.836,10.238,0,0.0,264.18,1056.721,no
midcap150,v4,1002,994,27.04,5.137,0,0.0,135.198,540.793,no
midcap100,v1,712,704,115.238,27.498,1,0.142,576.19,2304.762,YES
midcap100,v2,909,901,55.238,8.314,0,0.0,276.19,1104.762,no
midcap100,v3,690,682,140.0,12.514,1,0.147,700.0,2800.0,YES
midcap100,v4,903,895,67.619,3.923,0,0.0,338.095,1352.381,no
midcap50,v1,644,636,69.108,5.256,0,0.0,345.538,1382.151,no
midcap50,v2,860,852,38.749,2.049,0,0.0,193.745,774.981,no
midcap50,v3,640,632,57.056,4.476,0,0.0,285.278,1141.114,no
midcap50,v4,856,848,32.037,1.483,0,0.0,160.183,640.732,no
smallcap250,v1,910,902,180.612,72.484,4,0.443,903.061,3612.245,YES
smallcap250,v2,1108,1100,63.389,25.614,0,0.0,316.946,1267.784,no
smallcap250,v3,918,910,231.327,62.337,2,0.22,1156.633,4626.533,YES
smallcap250,v4,1108,1100,77.65,19.4,0,0.0,388.249,1552.997,no
