CAGR%,Sharpe,MaxDD%,Trades,FinalEquity,AnnVol%,n_days,tag,sigma,noise_seed,rows,bound_crossings,holdings_overlap_vs_base,minutes,run_date,script_sha256,git_commit,pid
19.4,1.5,-21.81,938,3716705.42,12.59,1836,nifty100,0.0,0,473311,0,1.0,26.11,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,44764
22.79,1.7,-22.69,932,4573995.75,12.78,1836,nifty100,0.0001,101,473311,6200,0.662,15.88,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,44764
18.74,1.41,-22.01,940,3568774.99,12.97,1836,nifty100,0.0001,202,473311,6158,0.6741,15.97,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,44764
21.32,1.6,-20.32,966,4183967.77,12.84,1836,nifty100,0.0001,303,473311,6228,0.656,15.95,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,44764
21.61,1.63,-19.3,960,4259744.84,12.72,1836,nifty100,0.0001,404,473311,6255,0.6447,15.91,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,44764
22.32,1.7,-18.22,949,4447620.54,12.51,1836,nifty100,0.0001,505,473311,6159,0.6703,16.01,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,44764
21.86,1.65,-18.97,950,4325077.55,12.72,1836,nifty100,0.0001,606,473311,6142,0.6547,15.32,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,44764
22.0,1.63,-17.65,948,4361575.29,12.89,1836,nifty100,0.0001,707,473311,6178,0.638,15.04,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,44764
21.77,1.62,-19.63,951,4299790.49,12.85,1836,nifty100,0.0001,808,473311,6159,0.6472,15.57,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,44764
19.76,1.52,-24.21,920,3802594.34,12.62,1836,nifty100,0.0001,909,473311,6183,0.6694,15.71,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,44764
19.95,1.51,-25.12,945,3847518.13,12.78,1836,nifty100,0.0001,1010,473311,6174,0.6836,15.5,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,44764
28.78,1.94,-21.39,1016,6510101.81,13.76,1836,midcap150,0.0,0,572399,0,1.0,17.22,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,53378
33.42,2.12,-20.39,1047,8459283.03,14.33,1836,midcap150,0.0001,101,572399,13216,0.7095,16.89,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,53378
29.74,1.95,-19.77,1040,6878979.93,14.1,1836,midcap150,0.0001,202,572399,13243,0.699,16.75,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,53378
26.72,1.79,-19.21,1037,5777104.66,14.0,1836,midcap150,0.0001,303,572399,13303,0.7058,16.87,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,53378
28.36,1.86,-24.33,1036,6351744.53,14.2,1836,midcap150,0.0001,404,572399,13254,0.6967,16.91,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,53378
31.2,1.95,-20.87,1017,7471716.14,14.73,1836,midcap150,0.0001,505,572399,13273,0.6954,16.9,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,53378
32.66,2.07,-24.09,1047,8108357.43,14.4,1836,midcap150,0.0001,606,572399,13281,0.701,16.86,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,53378
29.18,1.98,-20.52,1020,6662141.83,13.6,1836,midcap150,0.0001,707,572399,13258,0.6955,16.95,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,53378
29.06,1.88,-19.99,1020,6612864.46,14.32,1836,midcap150,0.0001,808,572399,13222,0.7129,17.12,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,53378
29.21,2.01,-19.06,1034,6671195.76,13.45,1836,midcap150,0.0001,909,572399,13278,0.6966,18.38,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,53378
26.84,1.79,-22.94,1014,5817633.95,14.11,1836,midcap150,0.0001,1010,572399,13280,0.6958,16.64,2026-09-24,c0a78e120d6e948b,83fa2bc+dirty,53378
