CAGR%,Sharpe,MaxDD%,Trades,FinalEquity,AnnVol%,n_days,tag,sigma,noise_seed,rows,bound_crossings,holdings_overlap_vs_base,minutes,run_date,script_sha256,git_commit,pid
19.01,1.5,-21.87,940,3628639.83,12.33,1836,nifty100,0.0,0,473311,0,1.0,15.68,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
21.3,1.62,-22.42,928,4179944.9,12.66,1836,nifty100,0.0001,101,473311,6200,0.672,15.73,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
19.32,1.48,-21.27,940,3698610.45,12.72,1836,nifty100,0.0001,202,473311,6158,0.6826,15.33,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
21.15,1.56,-20.53,966,4140513.1,13.05,1836,nifty100,0.0001,303,473311,6228,0.6561,15.64,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
19.38,1.49,-19.48,941,3713549.68,12.65,1836,nifty100,0.0001,404,473311,6255,0.6522,15.28,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
22.55,1.69,-22.93,950,4509879.44,12.75,1836,nifty100,0.0001,505,473311,6159,0.6618,15.77,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
20.84,1.57,-19.93,949,4061896.24,12.81,1836,nifty100,0.0005,101,473311,6440,0.6427,15.65,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
16.78,1.31,-21.37,932,3154775.53,12.61,1836,nifty100,0.0005,202,473311,6387,0.6536,16.28,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
21.15,1.58,-18.57,952,4140558.33,12.88,1836,nifty100,0.0005,303,473311,6462,0.6333,14.88,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
20.87,1.65,-19.55,926,4069917.32,12.15,1836,nifty100,0.0005,404,473311,6508,0.6352,14.9,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
24.13,1.81,-17.26,935,4957801.93,12.58,1836,nifty100,0.0005,505,473311,6406,0.6233,14.95,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
22.49,1.72,-18.79,954,4491055.35,12.43,1836,nifty100,0.001,101,473311,7938,0.5874,15.0,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
20.37,1.51,-22.47,949,3946837.78,13.09,1836,nifty100,0.001,202,473311,7899,0.6172,14.79,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
24.83,1.83,-16.29,932,5169299.37,12.76,1836,nifty100,0.001,303,473311,7925,0.598,15.09,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
20.08,1.58,-15.88,921,3877484.22,12.26,1836,nifty100,0.001,404,473311,7988,0.5918,15.48,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
21.48,1.59,-20.85,929,4225836.09,12.97,1836,nifty100,0.001,505,473311,7948,0.6058,15.51,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
20.22,1.49,-19.12,958,3911922.35,13.14,1836,nifty100,0.005,101,473311,66018,0.4792,15.62,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
22.14,1.66,-21.7,937,4397160.51,12.71,1836,nifty100,0.005,202,473311,66085,0.4771,15.25,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
19.57,1.47,-23.85,966,3756788.1,12.96,1836,nifty100,0.005,303,473311,66277,0.4651,14.93,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
25.25,1.74,-19.24,909,5298263.55,13.75,1836,nifty100,0.005,404,473311,66175,0.4941,15.44,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
20.74,1.61,-20.72,931,4037623.29,12.43,1836,nifty100,0.005,505,473311,66195,0.4989,14.96,2026-09-20,e16b9000aa9d68bb,3925e3e+dirty,4793
21.45,1.62,-17.7,932,4218024.89,12.66,1836,nifty100,0.0001,606,473311,6142,0.6494,15.2,2026-09-20,d86da913567e113a,3925e3e+dirty,14094
19.84,1.58,-18.09,946,3821428.47,12.14,1836,nifty100,0.0001,707,473311,6178,0.6554,15.25,2026-09-20,d86da913567e113a,3925e3e+dirty,14094
21.47,1.59,-22.16,955,4222757.5,12.96,1836,nifty100,0.0001,808,473311,6159,0.6704,15.1,2026-09-20,d86da913567e113a,3925e3e+dirty,14094
20.5,1.6,-18.36,940,3979724.93,12.31,1836,nifty100,0.0001,909,473311,6183,0.6511,15.23,2026-09-20,d86da913567e113a,3925e3e+dirty,14094
20.6,1.52,-25.9,925,4002393.73,13.08,1836,nifty100,0.0001,1010,473311,6174,0.6722,15.57,2026-09-20,d86da913567e113a,3925e3e+dirty,14094
27.8,1.9,-20.01,1006,6150398.56,13.65,1836,midcap150,0.0,0,572399,0,1.0,17.59,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
31.88,2.1,-19.79,1036,7762383.85,13.87,1836,midcap150,0.0001,101,572399,13216,0.7143,17.73,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
31.24,2.05,-21.47,1036,7488810.14,13.98,1836,midcap150,0.0001,202,572399,13243,0.7051,17.68,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
28.03,1.92,-19.23,1035,6231832.88,13.55,1836,midcap150,0.0001,303,572399,13303,0.718,17.69,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
31.02,1.97,-24.18,1024,7396382.46,14.49,1836,midcap150,0.0001,404,572399,13254,0.701,17.76,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
29.94,1.9,-21.88,1009,6955833.76,14.59,1836,midcap150,0.0001,505,572399,13273,0.6983,17.91,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
30.66,2.03,-17.25,1027,7248296.76,13.85,1836,midcap150,0.0005,101,572399,13649,0.6813,17.81,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
27.55,1.86,-19.61,1026,6063543.36,13.84,1836,midcap150,0.0005,202,572399,13677,0.6707,16.9,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
31.31,2.01,-21.08,1026,7517981.94,14.27,1836,midcap150,0.0005,303,572399,13767,0.6933,16.77,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
27.78,1.88,-21.18,1021,6143026.13,13.8,1836,midcap150,0.0005,404,572399,13710,0.6772,16.81,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
28.88,1.96,-21.75,1008,6545358.81,13.68,1836,midcap150,0.0005,505,572399,13718,0.6856,16.63,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
32.49,2.15,-16.3,1037,8033015.31,13.75,1836,midcap150,0.001,101,572399,15195,0.633,16.73,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
28.37,1.88,-20.27,1042,6355674.91,14.04,1836,midcap150,0.001,202,572399,15210,0.6369,16.62,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
31.59,2.09,-18.64,1005,7639555.29,13.85,1836,midcap150,0.001,303,572399,15314,0.6699,16.69,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
27.29,1.82,-18.6,1008,5971401.78,14.07,1836,midcap150,0.001,404,572399,15393,0.6535,16.64,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
32.52,2.14,-17.3,1004,8048585.87,13.84,1836,midcap150,0.001,505,572399,15251,0.6517,16.52,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
32.11,2.12,-17.29,1006,7862729.73,13.8,1836,midcap150,0.005,101,572399,73759,0.5048,16.74,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
27.73,1.86,-24.05,1026,6124872.57,13.89,1836,midcap150,0.005,202,572399,73825,0.5096,16.61,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
28.7,1.88,-21.85,1006,6477498.86,14.18,1836,midcap150,0.005,303,572399,73394,0.5024,16.73,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
30.38,2.01,-19.53,1014,7133520.28,13.93,1836,midcap150,0.005,404,572399,73980,0.5055,16.87,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
24.78,1.73,-21.7,1006,5153903.64,13.57,1836,midcap150,0.005,505,572399,73756,0.5304,16.5,2026-09-21,d86da913567e113a,3925e3e+dirty,19432
32.35,2.1,-23.84,1043,7969529.16,14.06,1836,midcap150,0.0001,606,572399,13281,0.6996,17.46,2026-09-21,d86da913567e113a,3a07ba5,59484
28.07,1.96,-20.25,1038,6247284.3,13.3,1836,midcap150,0.0001,707,572399,13258,0.7005,17.49,2026-09-21,d86da913567e113a,3a07ba5+dirty,59484
30.2,1.91,-23.29,1024,7059148.2,14.6,1836,midcap150,0.0001,808,572399,13222,0.697,17.8,2026-09-21,d86da913567e113a,3a07ba5+dirty,59484
27.69,1.89,-18.35,1023,6111358.04,13.65,1836,midcap150,0.0001,909,572399,13278,0.706,17.83,2026-09-21,d86da913567e113a,3a07ba5+dirty,59484
28.35,1.85,-21.86,1012,6349410.07,14.31,1836,midcap150,0.0001,1010,572399,13280,0.7082,17.8,2026-09-21,d86da913567e113a,3a07ba5+dirty,59484
