universe,arm,rebal,n_rebalances,CAGR_pct,dCAGR_vs_rebal20,floor_verdict,seed_floor_CAGR,Sharpe,MaxDD_pct,AnnVol_pct,trades,TC_Rs,TC_pct_of_final_equity,final_equity,deployed_pct,ships
n100,v1,5,367,27.62,-7.28,outside,1.74,1.38,-26.64,19.27,1809,800281.37,13.1451,6088072.16,100.0,False
n100,v1,10,184,33.38,-1.52,INSIDE,1.74,1.62,-31.99,19.28,1173,632415.04,7.494,8438954.6,100.0,False
n100,v1,20,92,34.9,0.0,control,1.74,1.63,-35.25,19.93,819,506530.35,5.5186,9178662.85,100.0,False
n100,v1,40,46,30.29,-4.61,outside,1.74,1.5,-35.18,19.11,457,241477.68,3.4037,7094573.09,100.0,False
n100,v1,60,31,28.13,-6.77,outside,1.74,1.4,-31.13,19.43,307,128729.09,2.0532,6269638.91,100.0,False
n100,v2,5,367,17.69,-8.09,outside,0.97,1.38,-18.52,12.58,2439,424092.17,12.6892,3342138.09,56.76,False
n100,v2,10,184,22.61,-3.17,outside,0.97,1.72,-18.68,12.55,1524,312792.96,6.9126,4524948.95,56.75,False
n100,v2,20,92,25.78,0.0,control,0.97,1.86,-19.87,12.97,978,245987.05,4.5011,5465013.26,56.59,True
n100,v2,40,46,22.29,-3.49,outside,0.97,1.68,-25.56,12.66,533,111319.57,2.5089,4437039.83,56.45,False
n100,v2,60,31,19.48,-6.3,outside,0.97,1.48,-15.62,12.78,362,69030.59,1.8471,3737337.2,58.86,False
n100,v3,5,367,32.01,3.91,UNKNOWN,,1.35,-30.11,22.91,1808,905435.97,11.5809,7818386.09,100.0,False
n100,v3,10,184,35.0,6.9,UNKNOWN,,1.45,-37.59,22.9,1152,653977.3,7.0836,9232233.58,100.0,False
n100,v3,20,92,28.1,0.0,control,,1.2,-45.4,23.28,788,379418.64,6.0612,6259763.65,100.0,False
n100,v3,40,46,31.21,3.11,UNKNOWN,,1.36,-39.78,22.13,432,232716.05,3.1125,7476789.58,100.0,False
n100,v3,60,31,29.29,1.19,UNKNOWN,,1.22,-39.65,23.73,302,138112.82,2.0606,6702669.76,100.0,False
n100,v4,5,367,20.47,-2.42,UNKNOWN,,1.31,-22.52,15.34,2437,437127.76,11.0029,3972834.5,56.76,False
n100,v4,10,184,23.93,1.04,UNKNOWN,,1.5,-22.02,15.38,1532,311128.37,6.3535,4896998.16,56.75,False
n100,v4,20,92,22.89,0.0,control,,1.41,-22.05,15.71,980,216304.84,4.701,4601213.3,56.59,False
n100,v4,40,46,24.27,1.38,UNKNOWN,,1.5,-28.41,15.53,529,117331.42,2.3475,4998060.95,56.45,False
n100,v4,60,31,18.65,-4.24,UNKNOWN,,1.23,-25.66,15.03,358,63459.53,1.788,3549222.28,58.86,False
mid,v1,5,367,41.58,-4.29,outside,2.14,1.74,-37.23,21.71,1864,1328986.8,10.1203,13131926.67,100.0,False
mid,v1,10,184,44.47,-1.4,INSIDE,2.14,1.83,-35.57,21.81,1246,1060377.92,6.9529,15250881.73,100.0,False
mid,v1,20,92,45.87,0.0,control,2.14,1.84,-34.49,22.22,835,681738.66,4.1628,16377112.01,100.0,False
mid,v1,40,46,42.04,-3.83,outside,2.14,1.78,-35.09,21.31,456,334626.8,2.4873,13453177.61,100.0,False
mid,v1,60,31,42.98,-2.89,outside,2.14,1.73,-37.75,22.48,318,308020.21,2.1805,14126209.77,100.0,False
mid,v2,5,367,27.92,-1.78,outside,1.39,1.9,-16.59,13.65,2470,568928.48,9.1877,6192252.96,54.54,False
mid,v2,10,184,30.05,0.35,INSIDE,1.39,1.96,-16.45,14.19,1577,410765.09,5.869,6998881.21,54.62,False
mid,v2,20,92,29.7,0.0,control,1.39,2.03,-18.88,13.51,963,229837.15,3.3491,6862643.48,54.08,True
mid,v2,40,46,32.74,3.04,outside,1.39,2.12,-18.02,14.07,560,153873.71,1.8894,8143918.03,53.9,False
mid,v2,60,31,32.87,3.17,outside,1.39,2.02,-23.74,14.85,371,119639.52,1.4579,8206510.27,54.99,False
mid,v3,5,367,42.64,-7.06,UNKNOWN,,1.61,-30.44,24.27,1822,1510952.15,10.8862,13879461.51,100.0,False
mid,v3,10,184,50.79,1.09,UNKNOWN,,1.79,-39.54,25.06,1217,1388913.03,6.6311,20945481.81,100.0,False
mid,v3,20,92,49.7,0.0,control,,1.8,-35.61,24.51,790,816881.0,4.1152,19850475.5,100.0,False
mid,v3,40,46,58.42,8.72,UNKNOWN,,2.08,-28.58,23.91,450,680242.16,2.2539,30180837.42,100.0,False
mid,v3,60,31,45.2,-4.5,UNKNOWN,,1.68,-41.7,24.29,296,315460.69,1.9928,15829925.98,100.0,False
mid,v4,5,367,29.44,-2.87,UNKNOWN,,1.76,-19.02,15.57,2466,584624.47,8.6458,6761985.66,54.54,False
mid,v4,10,184,36.23,3.92,UNKNOWN,,2.01,-15.96,16.36,1575,506036.83,5.1254,9873169.37,54.62,False
mid,v4,20,92,32.31,0.0,control,,1.92,-17.45,15.47,961,253116.11,3.1832,7951677.08,54.08,False
mid,v4,40,46,40.62,8.31,UNKNOWN,,2.18,-21.6,16.56,558,209723.9,1.6793,12488835.1,53.9,False
mid,v4,60,31,34.77,2.46,UNKNOWN,,1.88,-26.98,16.95,371,129729.63,1.4229,9116956.19,54.99,False
