date,n100_v1_r5,n100_v1_r10,n100_v1_r20,n100_v1_r40,n100_v1_r60,n100_v2_r5,n100_v2_r10,n100_v2_r20,n100_v2_r40,n100_v2_r60,n100_v3_r5,n100_v3_r10,n100_v3_r20,n100_v3_r40,n100_v3_r60,n100_v4_r5,n100_v4_r10,n100_v4_r20,n100_v4_r40,n100_v4_r60,mid_v1_r5,mid_v1_r10,mid_v1_r20,mid_v1_r40,mid_v1_r60,mid_v2_r5,mid_v2_r10,mid_v2_r20,mid_v2_r40,mid_v2_r60,mid_v3_r5,mid_v3_r10,mid_v3_r20,mid_v3_r40,mid_v3_r60,mid_v4_r5,mid_v4_r10,mid_v4_r20,mid_v4_r40,mid_v4_r60
2019-01-01,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2019-01-02,991201.6535649998,991201.6535649998,991201.6535649998,991201.6535649998,991201.6535649998,995019.3208649998,995019.3208649998,995019.3208649998,995019.3208649998,995019.3208649998,990374.1528599999,990374.1528599999,990374.1528599999,990374.1528599999,990374.1528599999,994551.8430900001,994551.8430900001,994551.8430900001,994551.8430900001,994551.8430900001,990745.5691699999,990745.5691699999,990745.5691699999,990745.5691699999,990745.5691699999,994798.3253949999,994798.3253949999,994798.3253949999,994798.3253949999,994798.3253949999,990797.2106450001,990797.2106450001,990797.2106450001,990797.2106450001,990797.2106450001,994827.3374450001,994827.3374450001,994827.3374450001,994827.3374450001,994827.3374450001
2019-01-03,987894.2887650001,987894.2887650001,987894.2887650001,987894.2887650001,987894.2887650001,993142.5706649998,993142.5706649998,993142.5706649998,993142.5706649998,993142.5706649998,982459.7008599997,982459.7008599997,982459.7008599997,982459.7008599997,982459.7008599997,990067.5460900001,990067.5460900001,990067.5460900001,990067.5460900001,990067.5460900001,995135.90917,995135.90917,995135.90917,995135.90917,995135.90917,997286.1953949998,997286.1953949998,997286.1953949998,997286.1953949998,997286.1953949998,996003.6106450001,996003.6106450001,996003.6106450001,996003.6106450001,996003.6106450001,997771.7774450001,997771.7774450001,997771.7774450001,997771.7774450001,997771.7774450001
2019-01-04,984018.3453649998,984018.3453649998,984018.3453649998,984018.3453649998,984018.3453649998,990957.2115649999,990957.2115649999,990957.2115649999,990957.2115649999,990957.2115649999,982896.5798599997,982896.5798599997,982896.5798599997,982896.5798599997,982896.5798599997,990329.8725900002,990329.8725900002,990329.8725900002,990329.8725900002,990329.8725900002,998607.43917,998607.43917,998607.43917,998607.43917,998607.43917,999252.355395,999252.355395,999252.355395,999252.355395,999252.355395,1001530.3506450001,1001530.3506450001,1001530.3506450001,1001530.3506450001,1001530.3506450001,1000885.8074450002,1000885.8074450002,1000885.8074450002,1000885.8074450002,1000885.8074450002
2019-01-07,982139.8369649999,982139.8369649999,982139.8369649999,982139.8369649999,982139.8369649999,989899.479965,989899.479965,989899.479965,989899.479965,989899.479965,982168.8838599998,982168.8838599998,982168.8838599998,982168.8838599998,982168.8838599998,989929.23659,989929.23659,989929.23659,989929.23659,989929.23659,999917.60917,999917.60917,999917.60917,999917.60917,999917.60917,999994.3253949999,999994.3253949999,999994.3253949999,999994.3253949999,999994.3253949999,1005808.4606450001,1005808.4606450001,1005808.4606450001,1005808.4606450001,1005808.4606450001,1003294.0974450001,1003294.0974450001,1003294.0974450001,1003294.0974450001,1003294.0974450001
2019-01-08,992399.3291649999,992399.3291649999,992399.3291649999,992399.3291649999,992399.3291649999,995708.9702649999,995708.9702649999,995708.9702649999,995708.9702649999,995708.9702649999,995229.9668599998,995229.9668599998,995229.9668599998,995229.9668599998,995229.9668599998,997316.31209,997316.31209,997316.31209,997316.31209,997316.31209,999521.27917,999521.27917,999521.27917,999521.27917,999521.27917,999756.0553949999,999756.0553949999,999756.0553949999,999756.0553949999,999756.0553949999,1008190.5506450002,1008190.5506450002,1008190.5506450002,1008190.5506450002,1008190.5506450002,1004624.3674450001,1004624.3674450001,1004624.3674450001,1004624.3674450001,1004624.3674450001
2019-01-09,993484.7258441,1000593.225965,1000593.225965,1000593.225965,1000593.225965,992945.9600646499,1000346.2284649998,1000346.2284649998,1000346.2284649998,1000346.2284649998,989595.6512914997,999161.5988599998,999161.5988599998,999161.5988599998,999161.5988599998,991065.4470102501,999533.10909,999533.10909,999533.10909,999533.10909,1005747.5742899999,1007697.6991699999,1007697.6991699999,1007697.6991699999,1007697.6991699999,1003739.3774949999,1004342.3253949999,1004342.3253949999,1004342.3253949999,1004342.3253949999,1011807.185635,1013969.6006450002,1013969.6006450002,1013969.6006450002,1013969.6006450002,1007033.6418999999,1007866.5274450001,1007866.5274450001,1007866.5274450001,1007866.5274450001
2019-01-10,992920.1458440999,1007753.5217649998,1007753.5217649998,1007753.5217649998,1007753.5217649998,993365.4200646499,1004401.3051649998,1004401.3051649998,1004401.3051649998,1004401.3051649998,987484.1612914996,1010422.7258599998,1010422.7258599998,1010422.7258599998,1010422.7258599998,989958.63701025,1005907.56859,1005907.56859,1005907.56859,1005907.56859,1003940.7342899998,1004372.0991700001,1004372.0991700001,1004372.0991700001,1004372.0991700001,1002694.9474949999,1002460.655395,1002460.655395,1002460.655395,1002460.655395,1009423.875635,1018928.3506450001,1018928.3506450001,1018928.3506450001,1018928.3506450001,1006049.4419,1010649.547445,1010649.547445,1010649.547445,1010649.547445
2019-01-11,987419.9958440999,1005841.732365,1005841.732365,1005841.732365,1005841.732365,986206.2600646497,1003325.0070649999,1003325.0070649999,1003325.0070649999,1003325.0070649999,979458.1012914998,1008648.6348599999,1008648.6348599999,1008648.6348599999,1008648.6348599999,982411.0570102502,1004910.95009,1004910.95009,1004910.95009,1004910.95009,1011992.1742899999,1004830.20917,1004830.20917,1004830.20917,1004830.20917,1008740.8774949998,1002723.585395,1002723.585395,1002723.585395,1002723.585395,1017121.745635,1027759.6106450001,1027759.6106450001,1027759.6106450001,1027759.6106450001,1011694.9619,1015631.4874450001,1015631.4874450001,1015631.4874450001,1015631.4874450001
2019-01-14,979890.8158441,1002910.078365,1002910.078365,1002910.078365,1002910.078365,979337.8300646498,1001665.8010649999,1001665.8010649999,1001665.8010649999,1001665.8010649999,973921.8012914998,1007693.7048599999,1007693.7048599999,1007693.7048599999,1007693.7048599999,977706.87701025,1004372.06009,1004372.06009,1004372.06009,1004372.06009,1014453.54429,1000682.99917,1000682.99917,1000682.99917,1000682.99917,1010669.9174949998,1000430.865395,1000430.865395,1000430.865395,1000430.865395,1023753.935635,1018333.3106450001,1018333.3106450001,1018333.3106450001,1018333.3106450001,1016833.5119,1010348.167445,1010348.167445,1010348.167445,1010348.167445
